"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"137","1","2019-06-23 23:13:23","2019-06-24 02:13:23",,"Editar Perfil",,"draft","open","closed",,"editar-perfil",,,"2020-10-27 09:05:26","2020-10-27 12:05:26",,"0","http://inspirythemesdemo.com/realplaces/?page_id=137","0","page",,"0"
"139","1","2019-06-23 23:13:57","2019-06-23 23:13:57",,"Favoritos",,"publish","open","closed",,"favoritos",,,"2019-06-23 23:13:57","2019-06-23 23:13:57",,"0","http://inspirythemesdemo.com/realplaces/?page_id=139","0","page",,"0"
"141","1","2019-06-23 23:14:15","2019-06-23 23:14:15",,"Mis Propiedades",,"publish","open","closed",,"mis-propiedades",,,"2019-06-23 23:14:15","2019-06-23 23:14:15",,"0","http://inspirythemesdemo.com/realplaces/?page_id=141","0","page",,"0"
"145","1","2019-06-23 23:21:20","2019-06-24 02:21:20",,"Galería a dos columnas",,"draft","open","closed",,"galeria-a-dos-columnas",,,"2020-10-27 09:06:28","2020-10-27 12:06:28",,"0","http://inspirythemesdemo.com/realplaces/?page_id=145","0","page",,"0"
"147","1","2019-06-23 23:23:20","2019-06-24 02:23:20",,"Galería a tres columnas",,"draft","open","closed",,"galeria-a-tres-columnas",,,"2020-10-27 09:06:04","2020-10-27 12:06:04",,"0","http://inspirythemesdemo.com/realplaces/?page_id=147","0","page",,"0"
"149","1","2019-06-23 23:23:41","2019-06-24 02:23:41",,"Galería a cuatro columnas",,"draft","open","closed",,"galeria-a-cuatro-columnas",,,"2020-10-27 09:03:26","2020-10-27 12:03:26",,"0","http://inspirythemesdemo.com/realplaces/?page_id=149","0","page",,"0"
"155","1","2019-06-23 23:26:14","2019-06-24 02:26:14",,"Contacto",,"publish","closed","closed",,"contacto",,,"2022-11-21 12:29:32","2022-11-21 15:29:32",,"0","http://inspirythemesdemo.com/realplaces/?page_id=155","0","page",,"0"
"202","1","2019-06-25 13:45:01","2019-06-25 16:45:01",,"Diseño de cuadrícula",,"draft","open","closed",,"diseno-de-cuadricula",,,"2020-10-27 08:59:21","2020-10-27 11:59:21",,"0","http://inspirythemesdemo.com/realplaces/?page_id=202","0","page",,"0"
"3588","1","2019-06-27 12:43:06","2019-06-27 12:43:06","[faqs style=""filterable-toggle""]","Preguntas Frecuentes",,"publish","closed","closed",,"preguntas-frecuentes",,,"2019-06-27 12:43:06","2019-06-27 12:43:06",,"0","http://inspirythemesdemo.com/realplaces/?page_id=3580","0","page",,"0"
"4395","1","2017-06-14 21:42:49","2017-06-14 21:42:49"," ",,,"publish","closed","closed",,"4395",,,"2021-02-25 17:28:09","2021-02-25 20:28:09",,"0","http://modern-min.realhomes.io/?p=4395","30","nav_menu_item",,"0"
"4399","1","2017-06-14 21:42:49","2017-06-14 21:42:49"," ",,,"publish","closed","closed",,"4399",,,"2021-02-25 17:28:09","2021-02-25 20:28:09",,"0","http://modern-min.realhomes.io/?p=4399","31","nav_menu_item",,"0"
"4425","1","2017-06-15 07:51:06","2017-06-15 07:51:06"," ",,,"publish","closed","closed",,"4425",,,"2017-06-15 07:51:06","2017-06-15 07:51:06",,"0","http://modern-min.realhomes.io/?p=4425","6","nav_menu_item",,"0"
"4426","1","2017-06-15 07:51:06","2017-06-15 07:51:06"," ",,,"publish","closed","closed",,"4426",,,"2017-06-15 07:51:06","2017-06-15 07:51:06",,"0","http://modern-min.realhomes.io/?p=4426","5","nav_menu_item",,"0"
"4428","1","2017-06-15 07:51:05","2017-06-15 07:51:05"," ",,,"publish","closed","closed",,"4428",,,"2017-06-15 07:51:05","2017-06-15 07:51:05",,"0","http://modern-min.realhomes.io/?p=4428","2","nav_menu_item",,"0"
"4456","1","2017-06-15 09:24:20","2017-06-15 09:24:20"," ",,,"publish","closed","closed",,"4456",,,"2021-02-25 17:28:09","2021-02-25 20:28:09",,"0","http://modern-min.realhomes.io/?p=4456","22","nav_menu_item",,"0"
"4544","1","2019-06-30 07:17:53","2019-06-30 07:17:53",,"Compare Propiedades",,"publish","closed","closed",,"compare-propiedades",,,"2019-06-30 07:17:53","2019-06-30 07:17:53",,"0","http://modern-min.realhomes.io/?page_id=4544","0","page",,"0"
"4580","1","2019-04-30 12:15:56","2019-04-30 15:15:56",,"Agencias",,"draft","closed","closed",,"agencias",,,"2020-10-27 09:04:28","2020-10-27 12:04:28",,"0","http://modern-min.realhomes.io/?page_id=4580","0","page",,"0"
"4583","1","2019-04-30 12:18:11","2019-04-30 15:18:11",,"Diseño de medio mapa",,"draft","closed","closed",,"diseno-de-medio-mapa",,,"2020-10-27 09:00:44","2020-10-27 12:00:44",,"0","http://modern-min.realhomes.io/?page_id=4583","0","page",,"0"
"4588","1","2018-04-30 14:26:18","2018-04-30 14:26:18"," ",,,"publish","closed","closed",,"4588",,,"2018-04-30 14:26:18","2018-04-30 14:26:18",,"0","http://modern-min.realhomes.io/?p=4588","3","nav_menu_item",,"0"
"4589","1","2018-04-30 14:26:18","2018-04-30 14:26:18"," ",,,"publish","closed","closed",,"4589",,,"2018-04-30 14:26:18","2018-04-30 14:26:18",,"0","http://modern-min.realhomes.io/?p=4589","4","nav_menu_item",,"0"
"4661","1","2019-01-24 04:17:02","2019-01-24 07:17:02",,"Diseño de lista de ancho completo",,"draft","closed","closed",,"diseno-de-lista-de-ancho-completo",,,"2020-10-27 08:59:34","2020-10-27 11:59:34",,"0","http://elementor-modern-min.realhomes.io/?page_id=4661","0","page",,"0"
"4668","1","2019-01-24 04:19:08","2019-01-24 04:19:08",,"Casas",,"publish","closed","closed",,"4668",,,"2021-02-25 17:28:08","2021-02-25 20:28:08",,"5060","http://elementor-modern-min.realhomes.io/?p=4668","3","nav_menu_item",,"0"
"4737","1","2020-02-21 07:14:36","2020-02-21 07:14:36",,"Default Kit",,"publish","closed","closed",,"default-kit",,,"2020-02-21 07:14:36","2020-02-21 07:14:36",,"0","https://di.realhomes.io/modern-elementor/?elementor_library=default-kit","0","elementor_library",,"0"
"4740","1","2020-05-04 19:38:37","2020-05-04 19:38:37",,"Default Kit",,"publish","closed","closed",,"default-kit-2",,,"2020-05-04 19:38:37","2020-05-04 19:38:37",,"0","http://demo.realhomes.io/spanish/?elementor_library=default-kit-2","0","elementor_library",,"0"
"4884","1","2020-09-29 08:32:22","2020-09-29 11:32:22",,"logo1",,"inherit","open","closed",,"logo1",,,"2020-09-29 08:32:22","2020-09-29 11:32:22",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/09/logo1.png","0","attachment","image/png","0"
"4886","1","2020-09-29 08:35:45","2020-09-29 11:35:45",,"Logo Daniel Brarda",,"inherit","open","closed",,"logo2",,,"2020-09-29 08:36:04","2020-09-29 11:36:04",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/09/logo2.png","0","attachment","image/png","0"
"4888","1","2020-09-29 08:38:26","2020-09-29 11:38:26",,"logo",,"inherit","open","closed",,"logo-2",,,"2020-09-29 08:38:26","2020-09-29 11:38:26",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/09/logo.jpg","0","attachment","image/jpeg","0"
"4890","1","2020-09-29 08:39:53","2020-09-29 11:39:53",,"logo3",,"inherit","open","closed",,"logo3",,,"2020-09-29 08:39:53","2020-09-29 11:39:53",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/09/logo3.png","0","attachment","image/png","0"
"4892","1","2020-09-29 08:43:06","2020-09-29 11:43:06",,"logo4",,"inherit","open","closed",,"logo4",,,"2020-09-29 08:43:06","2020-09-29 11:43:06",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/09/logo4.png","0","attachment","image/png","0"
"4895","1","2020-09-29 08:49:31","2020-09-29 11:49:31",,"icon",,"inherit","open","closed",,"icon",,,"2020-09-29 08:49:31","2020-09-29 11:49:31",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/09/icon.jpg","0","attachment","image/jpeg","0"
"4896","1","2020-09-29 08:49:34","2020-09-29 11:49:34","http://c1960610.ferozo.com/wp-content/uploads/2020/09/cropped-icon.jpg","cropped-icon.jpg",,"inherit","open","closed",,"cropped-icon-jpg",,,"2020-09-29 08:49:34","2020-09-29 11:49:34",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/09/cropped-icon.jpg","0","attachment","image/jpeg","0"
"4897","1","2020-09-29 08:49:47","2020-09-29 11:49:47",,"Kit predeterminado",,"inherit","closed","closed",,"8-revision-v1",,,"2020-09-29 08:49:47","2020-09-29 11:49:47",,"8","http://c1960610.ferozo.com/2020/09/29/8-revision-v1/","0","revision",,"0"
"4927","2","2020-10-07 13:15:24","2020-10-07 16:15:24",,"Contacto",,"inherit","closed","closed",,"155-revision-v1",,,"2020-10-07 13:15:24","2020-10-07 16:15:24",,"155","http://c1960610.ferozo.com/155-revision-v1/","0","revision",,"0"
"4939","1","2020-10-07 20:24:42","2020-10-07 23:24:42","<!-- wp:paragraph -->
<p>Postergar interactivamente el contenido de alta remuneración sin datos compatibles con el pasado. Cultivar rápidamente procesos óptimos y arquitecturas tácticas. Interactuar completamente con áreas temáticas estratégicas covalentes a través de mercados electrónicos precisos.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Incubar globalmente los canales que cumplen con los estándares antes de los beneficios escalables. Difundir rápidamente los resultados superiores, mientras que las aplicaciones habilitadas para la web. Impulsar rápidamente catalizadores de cambio con clics y morteros antes de las arquitecturas verticales.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Ideas intermedias creíbles para modelos multiplataforma. Reintermediar continuamente los procesos integrados a través de un capital intelectual técnicamente sólido. Fomentar holísticamente las metodologías superiores sin las mejores prácticas impulsadas por el mercado.</p>
<!-- /wp:paragraph -->","Nathan James",,"inherit","closed","closed",,"57-revision-v1",,,"2020-10-07 20:24:42","2020-10-07 23:24:42",,"57","http://c1960610.ferozo.com/57-revision-v1/","0","revision",,"0"
"4946","2","2020-10-08 13:20:16","2020-10-08 16:20:16","<!-- wp:paragraph -->
<p>Postergar interactivamente el contenido de alta remuneración sin datos compatibles con el pasado. Cultivar rápidamente procesos óptimos y arquitecturas tácticas. Interactuar completamente con áreas temáticas estratégicas covalentes a través de mercados electrónicos precisos.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Incubar globalmente los canales que cumplen con los estándares antes de los beneficios escalables. Difundir rápidamente los resultados superiores, mientras que las aplicaciones habilitadas para la web. Impulsar rápidamente catalizadores de cambio con clics y morteros antes de las arquitecturas verticales.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Ideas intermedias creíbles para modelos multiplataforma. Reintermediar continuamente los procesos integrados a través de un capital intelectual técnicamente sólido. Fomentar holísticamente las metodologías superiores sin las mejores prácticas impulsadas por el mercado.</p>
<!-- /wp:paragraph -->","Daniel Brarda",,"inherit","closed","closed",,"57-revision-v1",,,"2020-10-08 13:20:16","2020-10-08 16:20:16",,"57","http://c1960610.ferozo.com/57-revision-v1/","0","revision",,"0"
"4947","2","2020-10-08 14:02:35","2020-10-08 17:02:35","<!-- wp:paragraph -->
<p>Corredor Público Inmobiliario M.P. 613 C.C.P.I.E.R.</p>
<!-- /wp:paragraph -->","Daniel Brarda",,"inherit","closed","closed",,"57-revision-v1",,,"2020-10-08 14:02:35","2020-10-08 17:02:35",,"57","http://c1960610.ferozo.com/57-revision-v1/","0","revision",,"0"
"4964","1","2020-10-08 16:18:49","2020-10-08 19:18:49",,"chaja_aerea00",,"inherit",,"closed",,"chaja_aerea00",,,"2020-10-08 16:18:49","2020-10-08 19:18:49",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/10/chaja_aerea00.jpg","0","attachment","image/jpeg","0"
"4971","1","2020-10-08 16:34:02","2020-10-08 19:34:02",,"enc00",,"inherit",,"closed",,"enc00",,,"2020-10-08 16:34:02","2020-10-08 19:34:02",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/10/enc00.jpg","0","attachment","image/jpeg","0"
"4979","1","2020-10-08 18:19:34","2020-10-08 21:19:34",,"logo7",,"inherit",,"closed",,"logo7",,,"2020-10-08 18:19:34","2020-10-08 21:19:34",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/10/logo7.png","0","attachment","image/png","0"
"5026","1","2020-10-10 12:52:12","2020-10-10 15:52:12",,"Daniel Brarda Inmobiliaria",,"inherit","closed","closed",,"logo8",,,"2020-10-10 12:53:15","2020-10-10 15:53:15",,"0","http://c1960610.ferozo.com/wp-content/uploads/2020/10/logo8.png","0","attachment","image/png","0"
"5056","1","2020-10-12 13:47:28","2020-10-12 16:47:28",,"Casas en Venta en Chajarí y alrededores",,"inherit","closed","closed",,"71-revision-v1",,,"2020-10-12 13:47:28","2020-10-12 16:47:28",,"71","http://c1960610.ferozo.com/71-revision-v1/","0","revision",,"0"
"5059","1","2020-10-12 14:53:19","2020-10-12 17:53:19",,"Propiedades",,"publish","closed","closed",,"propiedades",,,"2021-02-25 17:28:08","2021-02-25 20:28:08",,"0","http://c1960610.ferozo.com/?p=5059","1","nav_menu_item",,"0"
"5060","1","2019-06-23 04:55:10","2019-06-23 07:55:10",,"Propiedades en Venta en Chajarí",,"publish","closed","closed",,"chajari-en-venta",,,"2020-10-12 19:39:50","2020-10-12 22:39:50",,"0","http://c1960610.ferozo.com/chajari-en-venta-casas-2/","0","page",,"0"
"5061","1","2020-10-12 14:55:01","2020-10-12 17:55:01",,"Propiedades en Venta en Chajarí y alrededores",,"inherit","closed","closed",,"5060-revision-v1",,,"2020-10-12 14:55:01","2020-10-12 17:55:01",,"5060","http://c1960610.ferozo.com/5060-revision-v1/","0","revision",,"0"
"5062","1","2020-10-12 14:59:25","2020-10-12 17:59:25",,"En Venta",,"publish","closed","closed",,"en-venta",,,"2021-02-25 17:28:08","2021-02-25 20:28:08",,"0","http://c1960610.ferozo.com/?p=5062","2","nav_menu_item",,"0"
"5063","1","2019-06-23 04:55:10","2019-06-23 07:55:10",,"Propiedades en Alquiler en Chajarí",,"publish","closed","closed",,"chajari-en-alquiler",,,"2020-10-12 19:40:00","2020-10-12 22:40:00",,"0","http://c1960610.ferozo.com/chajari-en-venta-2/","0","page",,"0"
"5064","1","2020-10-12 15:09:00","2020-10-12 18:09:00",,"Propiedades en Alquiler en Chajarí y alrededores",,"inherit","closed","closed",,"5063-revision-v1",,,"2020-10-12 15:09:00","2020-10-12 18:09:00",,"5063","http://c1960610.ferozo.com/5063-revision-v1/","0","revision",,"0"
"5065","1","2020-10-12 15:10:13","2020-10-12 18:10:13",,"En Alquiler",,"publish","closed","closed",,"en-alquiler",,,"2021-02-25 17:28:09","2021-02-25 20:28:09",,"0","http://c1960610.ferozo.com/?p=5065","13","nav_menu_item",,"0"
"5067","1","2019-06-23 04:55:10","2019-06-23 07:55:10",,"Propiedades en Otras Ciudades",,"publish","closed","closed",,"otras-ciudades",,,"2020-10-28 13:44:07","2020-10-28 16:44:07",,"0","http://c1960610.ferozo.com/chajari-en-venta-2/","0","page",,"0"
"5068","1","2020-10-12 15:17:42","2020-10-12 18:17:42",,"Propiedades en Otras Ciudades",,"inherit","closed","closed",,"5067-revision-v1",,,"2020-10-12 15:17:42","2020-10-12 18:17:42",,"5067","http://c1960610.ferozo.com/5067-revision-v1/","0","revision",,"0"
"5069","1","2020-10-12 16:04:48","2020-10-12 19:04:48",,"Otras Ciudades",,"publish","closed","closed",,"otras-ciudades",,,"2021-02-25 17:28:09","2021-02-25 20:28:09",,"0","http://c1960610.ferozo.com/?p=5069","21","nav_menu_item",,"0"
"5083","1","2019-06-23 04:55:10","2019-06-23 07:55:10",,"Departamentos en Venta en Chajarí",,"publish","closed","closed",,"departamentos",,,"2020-10-12 19:35:46","2020-10-12 22:35:46",,"5060","http://c1960610.ferozo.com/chajari-en-venta/casas-2/","0","page",,"0"
"5085","1","2020-10-12 18:44:01","2020-10-12 21:44:01",,"Departamentos en Venta en Chajarí y alrededores",,"inherit","closed","closed",,"5083-revision-v1",,,"2020-10-12 18:44:01","2020-10-12 21:44:01",,"5083","http://c1960610.ferozo.com/5083-revision-v1/","0","revision",,"0"
"5091","1","2020-10-12 18:48:07","2020-10-12 21:48:07",,"Departamentos",,"publish","closed","closed",,"departamentos",,,"2021-02-25 17:28:09","2021-02-25 20:28:09",,"5060","http://c1960610.ferozo.com/?p=5091","4","nav_menu_item",,"0"
"5098","1","2019-06-23 04:55:10","2019-06-23 07:55:10",,"Lotes en Venta en Chajarí",,"publish","closed","closed",,"lotes",,,"2020-10-12 19:36:34","2020-10-12 22:36:34",,"5060","http://c1960610.ferozo.com/chajari-en-venta/departamentos-2/","0","page",,"0"
"5099","1","2020-10-12 19:11:25","2020-10-12 22:11:25",,"Lotes en Venta en Chajarí y la zona",,"inherit","closed","closed",,"5098-revision-v1",,,"2020-10-12 19:11:25","2020-10-12 22:11:25",,"5098","http://c1960610.ferozo.com/5098-revision-v1/","0","revision",,"0"
"5100","1","2020-10-12 19:12:06","2020-10-12 22:12:06",,"Lotes",,"publish","closed","closed",,"lotes",,,"2021-02-25 17:28:09","2021-02-25 20:28:09",,"5060","http://c1960610.ferozo.com/?p=5100","5","nav_menu_item",,"0"
"5106","1","2019-06-23 04:55:10","2019-06-23 07:55:10",,"Hectareas en Venta en Chajarí y la zona",,"publish","closed","closed",,"hectareas",,,"2020-10-12 19:35:55","2020-10-12 22:35:55",,"5060","http://c1960610.ferozo.com/chajari-en-venta/lotes-2/","0","page",,"0"
"5107","1","2020-10-12 19:21:53","2020-10-12 22:21:53",,"Hectareas en Venta en Chajarí y la zona",,"inherit","closed","closed",,"5106-revision-v1",,,"2020-10-12 19:21:53","2020-10-12 22:21:53",,"5106","http://c1960610.ferozo.com/5106-revision-v1/","0","revision",,"0"
"5108","1","2019-06-23 04:55:10","2019-06-23 07:55:10",,"Locales en Venta en Chajarí",,"publish","closed","closed",,"locales",,,"2020-10-12 19:36:14","2020-10-12 22:36:14",,"5060","http://c1960610.ferozo.com/chajari-en-venta/lotes-2/","0","page",,"0"
"5109","1","2020-10-12 19:24:02","2020-10-12 22:24:02",,"Locales en Venta en Chajarí y alrededores",,"inherit","closed","closed",,"5108-revision-v1",,,"2020-10-12 19:24:02","2020-10-12 22:24:02",,"5108","http://c1960610.ferozo.com/5108-revision-v1/","0","revision",,"0"
"5110","1","2019-06-23 04:55:10","2019-06-23 07:55:10",,"Campos en Venta en la zona de Chajarí",,"publish","closed","closed",,"campos",,,"2020-10-12 19:28:24","2020-10-12 22:28:24",,"5060","http://c1960610.ferozo.com/chajari-en-venta/hectareas-2/","0","page",,"0"
"5111","1","2020-10-12 19:26:29","2020-10-12 22:26:29",,"Campos en Venta en la zona de Chajarí",,"inherit","closed","closed",,"5110-revision-v1",,,"2020-10-12 19:26:29","2020-10-12 22:26:29",,"5110","http://c1960610.ferozo.com/5110-revision-v1/","0","revision",,"0"
